"","city","team1","team2","team1_toss_win","team1_bat","team1_win"
"431",11,"1","3",1,1,0
"432",5,"12","14",1,1,0
"433",11,"8","3",1,1,0
"434",6,"11","2",1,1,1
"435",1,"6","12",0,0,1
"436",9,"15","3",0,0,0
"437",2,"2","1",1,1,1
"438",8,"14","8",0,0,1
"439",2,"1","11",1,1,0
"440",9,"12","15",0,0,1
"441",28,"14","2",0,0,0
"442",11,"6","3",0,0,0
"443",8,"8","15",0,0,0
"444",6,"12","11",1,1,0
"445",28,"1","2",0,0,1
"446",12,"6","8",1,1,1
"447",6,"11","3",0,0,1
"448",9,"14","15",0,0,0
"449",1,"12","3",1,1,1
"450",24,"15","11",0,0,1
"451",2,"1","8",1,1,1
"452",5,"14","6",0,0,1
"453",1,"2","12",1,1,0
"454",8,"6","11",1,1,1
"455",8,"12","3",1,1,0
"456",7,"3","11",1,1,0
"457",7,"11","6",1,1,1
"458",29,"2","11",1,1,1
"459",30,"8","14",0,0,0
"460",29,"6","15",1,1,0
"461",29,"12","3",0,0,0
"462",31,"11","14",0,0,0
"463",31,"2","8",1,1,0
"464",30,"3","15",0,0,0
"465",29,"6","8",1,1,1
"466",30,"15","12",0,0,1
"467",31,"6","3",0,0,1
"468",30,"2","14",0,0,1
"469",31,"12","8",1,1,1
"470",31,"11","6",1,1,0
"471",29,"14","3",0,0,0
"472",29,"15","2",0,0,1
"473",30,"11","8",1,1,0
"474",30,"12","6",1,1,0
"475",31,"14","15",0,0,0
"477",31,"12","11",0,0,1
"478",28,"6","2",1,1,1
"479",6,"15","11",1,1,0
"480",8,"8","3",0,0,0
"481",5,"12","14",0,0,0
"482",21,"3","2",0,0,1
"483",8,"8","6",0,0,0
"484",6,"11","14",0,0,1
"485",8,"8","2",1,1,0
"486",22,"15","6",0,0,1
"487",21,"12","3",0,0,1
"488",5,"15","14",0,0,1
"489",8,"8","12",0,0,0
"490",6,"11","6",0,0,0
"491",22,"15","2",0,0,0
"492",5,"14","3",1,1,0
"493",1,"12","11",1,1,0
"494",28,"3","6",1,1,0
"495",5,"14","8",0,0,1
"496",1,"12","15",0,0,0
"497",22,"11","2",0,0,0
"498",21,"3","8",0,0,1
"499",28,"6","14",1,1,0
"500",1,"12","2",1,1,0
"501",21,"11","3",1,1,1
"502",8,"8","15",0,0,0
"503",1,"14","12",1,1,0
"504",7,"6","2",0,0,0
"505",9,"15","11",0,0,0
"506",7,"2","14",0,0,1
"507",28,"6","12",0,0,0
"508",6,"11","8",0,0,1
"509",9,"15","3",0,0,1
"510",5,"14","6",0,0,0
"511",7,"12","2",0,0,0
"512",9,"8","15",0,0,0
"513",6,"3","11",0,0,0
"514",7,"2","15",0,0,1
"515",6,"11","6",0,0,0
"516",6,"15","6",0,0,1
"517",5,"15","2",0,0,0
"518",7,"11","2",0,0,0
"519",12,"6","8",0,0,1
"520",2,"3","15",0,0,1
"521",12,"6","12",1,1,1
"522",7,"2","14",0,0,0
"523",8,"8","3",0,0,0
"524",6,"15","11",0,0,1
"525",5,"14","12",0,0,0
"526",21,"11","3",1,1,0
"527",7,"6","2",0,0,0
"528",2,"15","8",1,1,0
"529",26,"12","3",0,0,0
"530",6,"11","6",1,1,0
"531",26,"8","12",1,1,1
"532",2,"15","2",0,0,0
"533",21,"6","3",1,1,0
"534",5,"11","14",0,0,1
"535",8,"8","2",0,0,0
"537",26,"12","2",0,0,1
"538",5,"6","14",0,0,1
"539",8,"8","11",0,0,1
"540",21,"3","14",0,0,0
"541",6,"11","12",1,1,1
"542",12,"6","15",1,1,1
"543",8,"8","14",0,0,0
"544",9,"12","15",0,0,1
"545",7,"2","8",1,1,1
"547",12,"6","2",0,0,1
"548",8,"15","8",0,0,0
"549",6,"11","3",0,0,1
"550",5,"2","14",0,0,0
"551",1,"12","6",0,0,1
"552",9,"11","15",1,1,1
"553",6,"3","8",0,0,1
"554",12,"6","14",1,1,1
"555",7,"2","12",0,0,1
"556",6,"8","11",1,1,0
"557",5,"14","15",0,0,1
"558",6,"12","3",0,0,1
"559",12,"6","11",1,1,0
"560",7,"15","2",1,1,0
"561",27,"12","8",1,1,1
"562",6,"14","11",1,1,1
"563",12,"6","3",1,1,1
"564",1,"12","15",1,1,1
"565",27,"6","8",1,1,0
"566",9,"15","14",0,0,1
"567",6,"11","2",0,0,1
"568",1,"12","14",1,1,0
"569",9,"15","6",1,1,0
"570",6,"3","2",1,1,1
"572",1,"12","11",1,1,0
"573",6,"11","6",1,1,1
"574",2,"14","3",1,1,1
"575",28,"14","6",0,0,0
"576",7,"11","6",0,0,1
"577",6,"11","7",1,1,0
"578",7,"8","2",0,0,0
"579",9,"15","5",0,0,0
"580",5,"14","12",0,0,1
"581",7,"2","11",0,0,0
"582",3,"7","5",1,1,0
"583",8,"15","8",0,0,0
"584",1,"12","2",1,1,0
"585",6,"11","5",0,0,0
"586",9,"7","15",1,1,0
"587",5,"14","8",0,0,0
"588",1,"11","12",0,0,0
"589",9,"15","2",0,0,0
"590",6,"14","11",0,0,0
"591",3,"5","12",0,0,0
"592",2,"14","7",0,0,1
"593",8,"8","11",0,0,1
"594",1,"15","12",0,0,0
"595",3,"14","5",1,1,0
"596",2,"7","2",0,0,0
"597",9,"11","15",0,0,1
"598",1,"12","7",0,0,0
"599",8,"5","8",0,0,1
"600",6,"2","11",0,0,0
"601",2,"7","5",0,0,0
"602",8,"8","2",0,0,1
"603",1,"12","14",0,0,1
"604",3,"15","5",0,0,1
"605",2,"7","11",0,0,0
"606",5,"14","2",0,0,0
"607",3,"5","8",0,0,0
"608",7,"2","15",0,0,1
"609",8,"8","7",0,0,0
"610",1,"5","12",0,0,0
"611",5,"7","14",0,0,0
"612",9,"15","8",0,0,1
"613",26,"12","11",0,0,1
"614",7,"2","5",0,0,0
"615",9,"14","15",0,0,1
"616",26,"12","7",1,1,1
"617",5,"14","11",0,0,0
"618",1,"12","8",0,0,0
"619",26,"11","15",1,1,0
"620",5,"14","5",0,0,1
"621",7,"7","2",1,1,0
"622",9,"15","12",1,1,0
"623",26,"11","8",0,0,1
"624",7,"2","14",0,0,0
"625",26,"8","7",0,0,0
"626",5,"14","15",0,0,1
"627",10,"2","5",0,0,0
"628",27,"12","8",0,0,0
"629",26,"15","7",1,1,0
"630",10,"11","5",0,0,0
"631",7,"2","12",0,0,1
"632",27,"8","14",0,0,0
"633",5,"5","14",0,0,0
"634",8,"12","2",0,0,1
"635",8,"5","12",0,0,0
"636",5,"12","14",1,1,1
"637",6,"11","6",0,0,0
"638",32,"8","15",0,0,0
"639",7,"14","2",0,0,0
"640",1,"3","12",0,0,0
"641",12,"2","6",0,0,0
"642",11,"3","8",0,0,1
"643",1,"11","12",0,0,0
"644",33,"15","14",0,0,0
"645",6,"11","8",0,0,0
"646",7,"2","12",0,0,0
"647",33,"3","14",0,0,1
"648",32,"15","6",0,0,1
"649",7,"2","8",0,0,1
"650",6,"11","14",0,0,1
"651",11,"3","2",0,0,0
"652",32,"15","12",1,1,1
"653",2,"6","3",0,0,1
"654",7,"2","15",0,0,0
"655",33,"8","14",0,0,0
"656",1,"6","12",0,0,1
"657",11,"11","3",1,1,0
"658",8,"15","8",0,0,1
"659",6,"12","11",0,0,1
"660",33,"14","6",0,0,0
"661",1,"12","15",0,0,1
"662",8,"8","2",0,0,1
"663",2,"6","11",0,0,0
"664",11,"12","3",1,1,1
"665",33,"14","2",0,0,0
"666",2,"6","8",0,0,1
"667",33,"14","11",0,0,1
"668",8,"8","3",0,0,1
"669",7,"6","2",0,0,0
"670",4,"15","11",0,0,0
"671",2,"14","6",0,0,0
"672",1,"8","12",1,1,0
"673",6,"11","2",0,0,1
"674",4,"3","15",0,0,0
"675",1,"12","14",0,0,1
"676",11,"3","15",1,1,1
"677",7,"11","2",0,0,1
"678",8,"8","12",1,1,0
"679",11,"6","3",1,1,0
"680",4,"2","15",0,0,1
"681",8,"8","14",0,0,0
"682",2,"12","6",0,0,0
"683",6,"11","3",0,0,0
"684",4,"15","14",0,0,0
"685",7,"3","2",0,0,0
"686",6,"11","15",0,0,1
"687",33,"14","12",0,0,1
"688",8,"8","6",0,0,1
"689",11,"3","14",1,1,1
"690",1,"12","2",1,1,0
"691",8,"8","11",1,1,1
"692",2,"15","6",0,0,0
"693",6,"12","6",0,0,0
"694",7,"2","3",0,0,1
"695",7,"12","2",0,0,1
"696",6,"12","6",0,0,0
"697",12,"14","6",0,0,0
"698",7,"12","2",0,0,0
"699",6,"10","11",0,0,1
"700",11,"15","3",0,0,1
"701",8,"10","6",1,1,0
"702",7,"2","15",0,0,1
"703",33,"11","14",0,0,1
"704",1,"3","12",1,1,0
"705",32,"11","15",0,0,0
"707",1,"12","14",0,0,1
"708",12,"6","3",0,0,1
"709",32,"15","10",0,0,1
"710",11,"14","3",0,0,0
"711",6,"11","6",0,0,1
"712",8,"10","12",0,0,0
"713",33,"14","2",0,0,0
"714",12,"6","15",1,1,1
"715",1,"11","12",0,0,1
"716",33,"14","10",0,0,0
"717",11,"3","2",0,0,0
"718",32,"12","15",0,0,0
"719",12,"2","6",0,0,0
"720",6,"15","11",0,0,0
"721",11,"3","6",0,0,0
"722",7,"2","10",0,0,0
"723",6,"11","3",0,0,0
"724",32,"15","14",0,0,0
"725",7,"2","6",0,0,0
"726",1,"10","12",0,0,1
"727",6,"14","11",0,0,0
"728",32,"15","3",0,0,1
"729",1,"6","12",1,1,0
"730",8,"11","10",1,1,1
"731",7,"14","2",0,0,1
"732",11,"11","3",0,0,0
"733",8,"15","10",0,0,0
"734",1,"2","12",0,0,0
"735",33,"14","6",0,0,1
"736",11,"3","10",0,0,0
"737",12,"12","6",0,0,0
"738",33,"14","15",0,0,1
"739",7,"2","3",0,0,0
"740",12,"11","6",0,0,1
"741",11,"12","3",0,0,0
"742",8,"10","14",1,1,1
"743",7,"2","11",0,0,1
"744",1,"12","15",0,0,1
"746",12,"6","10",0,0,1
"748",32,"15","2",0,0,0
"749",8,"3","10",1,1,0
"750",33,"12","14",0,0,0
"751",32,"6","15",0,0,0
"752",6,"2","11",0,0,0
"753",12,"6","11",1,1,0
"754",26,"12","10",0,0,0
"755",26,"10","6",0,0,0
"756",1,"11","6",1,1,1
